.id	statistic.S	p.value	estimate.rho	null.value.rho	alternative	method	data.name	FDR_p
AB180734.1.1509	92973.7974970602	0.123864530218154	-0.175707804816199	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.367648860392737
AB697156.1.1394	68759.4871527895	0.254794186474629	0.130496248652746	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.514522237455958
AB703089.1.1467	60858.1644893777	0.0424079797854055	0.230413074401829	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.294956993731328
AB740357.1.1462	71196.0387972698	0.385206874124522	0.0996846343875142	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.677382654120858
AB746951.1.1438	82336.7219271519	0.720261474432047	-0.0411957906290155	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.873913801963571
AB810025.1.1485	75950.9410738068	0.730963176033035	0.0395561264835569	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.873913801963571
AB821277.1.1211	66355.2464957346	0.159347682864462	0.1608992716684	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.429315357906309
AB845265.1.1326	68724.7683513392	0.253185445262654	0.130935288112657	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.514522237455958
AEKT01000037.108.1664	88471.6105290693	0.300328886931952	-0.118775029136297	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.571237801266488
AF015258.1.1522	71323.1553150653	0.392954567633948	0.0980771720043842	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.680731704525724
AF024608.1.1421	56937.1582005591	0.0130348595793062	0.279996481991943	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.158401136019331
AF229877.1.1435	85724.3379333766	0.464484456636914	-0.0840341675207907	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.704291884729514
AF273037.1.1503	48898.0767793154	0.000565261910767902	0.381655347446029	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.0175608033611895
AJ971847.1.1378	27535.418295258	1.02488816779748e-10	0.651798602723125	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	4.77597886193626e-08
AM936594.1.1339	78676.252246462	0.964701899188478	0.00509297984974489	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.984061186207483
AM947652.1.1400	68759.4871527895	0.254794186474629	0.130496248652746	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.514522237455958
AWGA01000005.47.1564	74750.8551067492	0.634122854342581	0.0547319123060586	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.829212501754749
BAGV01000118.74.1596	78676.252246462	0.964701899188478	0.00509297984974489	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.984061186207483
CP007025.2009663.2011202	68406.1845312436	0.238747020997175	0.13496396601824	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.514522237455958
CP008876.544.2110	85693.1627005812	0.466589811350582	-0.0836399385498194	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.704291884729514
DQ068767.1.1532	82099.6081515348	0.739870752550065	-0.0381973488730867	0	two.sided	Spearman's rank correlation rho	x$Week and x$value	0.873913801963571
