	Bee23	Bee21	Bee15	Bee16	Bee1	Bee20	Bee70	Bee34	Bee7	Bee6	Bee38	Bee58	Bee13	Bee26	Bee55	Bee72	Bee35	Bee22	Bee10	Bee64	Bee63	Bee2	Bee27	Bee24	Bee68	Bee56	Bee50	Bee48	Bee39	Bee36	Bee67	Bee76	Bee69	Bee14	Bee43	Bee28	Bee40	Bee77	Bee3	Bee75	Bee8	Bee52	Bee51	Bee46	Bee66	Bee25	Bee9	Bee4	Bee59	Bee30	Bee5	Bee61	Bee60	Bee31	Bee54	Bee62	Bee12	Bee65	Bee42	Bee33	Bee18	Bee73	Bee45	Bee44	Bee57	Bee78	Bee53	Bee17	Bee47	Bee71	Bee49	Bee74	Bee11	Bee19	Bee29	Bee32	Bee41	Bee37
JL718996.85.1599	72665	6328	13057	30853	15022	266	9921	10608	23399	3249	10124	13325	17373	11639	6834	21019	5271	20672	9950	13750	12395	10734	6381	1849	23215	18531	4943	8600	17428	15415	16999	27981	18159	13232	8092	7567	6374	13335	17874	4522	6513	12334	13495	7749	20415	10715	13271	10394	22447	5300	14949	18398	10773	16080	7315	20087	7767	12462	6405	4280	8086	25153	3609	3720	10787	9953	5236	8516	12684	12407	14847	5637	13489	5645	2386	3875	517	4027
HM113222.1.1399	2069	374	5243	2818	3342	2429	449	1171	665	202	89	788	1449	157	599	293	771	961	454	96	135	5391	4607	780	280	212	352	121	1328	507	460	745	111	5347	774	782	3057	470	2285	165	2382	355	129	79	960	129	1196	899	3483	610	8280	702	434	4351	579	1017	880	595	935	80	84	219	185	253	356	355	804	507	602	296	56	189	1435	162	16	110	22	170
HM113202.1.1389	7550	3340	2681	2548	7811	6	1905	2687	3124	1727	485	905	6338	4581	9	1453	5025	8239	2910	1436	37	2537	3466	12321	4019	2003	1077	2438	2054	3538	4790	2864	1782	1141	12636	2560	2800	3348	8109	1324	5412	8563	998	79	5625	3381	12274	4313	268	1456	7749	2872	1613	12263	680	4621	1033	5221	2394	4503	261	22128	2025	3669	5875	5541	3534	4546	390	2719	5442	347	4538	4463	24	1810	535	707
HM108452.1.1455	74727	47	37	211	12	60	1	9	4159	52	1	21	55	2	41	1	2	14	0	98	8	46	6	4	298	117	22	51	86	5	62	311	21	192	0	6	27	204	168	15	11	108	57	6	6292	74	73	631	46	1	78	9	129	3	12	114	0	41	5	15	0	482	2	161	48	7	129	0	292	3	4	12	0	0	2	2984	24	39
HP459621.147.1556	9871	1513	927	1556	224	27097	11	2760	1515	81	10973	614	473	101	1275	109	669	719	256	39	327	379	362	511	127	55	102	220	1072	592	54	2559	48	809	44	437	346	2451	460	323	502	2145	189	590	4002	1264	352	1815	318	2972	434	492	643	477	519	65	69	68	232	3763	205	401	31	1051	7	52	244	39	2324	32	279	73	582	32	9648	1294	170	599
HM112051.1.1397	34703	2137	4614	12347	5742	2529	1083	4442	10288	1408	3988	2751	5096	7226	323	1409	1854	10122	6709	1870	1354	3863	2797	6315	4561	2100	2592	1347	6855	2976	3741	1012	3261	3969	1636	4245	2571	1489	4422	2555	1560	3264	1943	1968	4682	4520	3198	2445	8859	5725	3026	1084	3519	28450	2563	2579	4797	4787	4866	4042	742	4134	1947	2309	2364	6960	2679	7557	2245	2197	1654	2738	4055	5631	717	1727	229	1709
HM111870.1.1397	13372	2580	1130	3433	5984	16	1149	2145	4141	1158	2728	2129	2088	3854	94	3807	2164	3543	2772	974	1661	1079	2413	630	3156	2640	2788	1982	1269	1350	5763	3656	3536	1876	5785	2670	1205	1264	2691	949	1537	2250	1103	2285	7739	4096	1989	5656	4165	1344	7277	1412	4375	35501	1061	3718	1068	3127	10652	2647	293	7637	639	1831	3285	2663	1633	1294	2245	2043	3439	1075	1938	4382	17	907	277	903
KT598285.1.1216	2776	8422	2036	1699	13256	10008	2820	3427	1243	718	1992	548	2278	2985	1098	2225	2406	3182	2428	1104	1381	2688	2587	4696	2909	1779	602	1066	2700	4439	4938	2018	1753	804	1253	1634	4123	1622	4099	2199	4824	1085	789	549	1668	924	3055	3575	1285	1607	4513	3495	1299	23070	1563	3692	2940	1110	1846	1011	490	3768	1603	2548	1472	457	2909	2885	1128	1368	414	2017	3137	1991	105	364	322	477
AB810025.1.1485	10	1	1074	1	1	6617	0	1	1471	0	8265	0	84	0	10413	8996	0	2	4	1	8811	1701	1	1465	1	0	0	2	1409	1	0	0	25	7	20	0	1	12	7	0	1	0	1	6999	71	3	0	0	4	3606	0	11	481	3	0	2	0	2	11	63	0	4	0	1	0	0	0	0	4556	36	799	1672	1334	0	6546	1	1	0
JFZW01000001.235.1776	42018	2449	8094	2136	2245	410	2603	1158	6963	385	3481	3645	3896	485	2817	3003	4446	4208	618	3052	2629	3932	2868	2220	2341	1718	1518	2938	3970	3035	3831	2341	2914	1207	4488	1195	2156	2906	3443	440	1888	3968	985	1581	10564	1412	1951	3036	3833	3396	1297	2602	2595	4107	1288	2891	1113	3819	1495	2819	1376	5779	384	4462	2503	1245	2258	1031	2120	731	2252	2944	2673	1665	16	990	2210	3024
